Resume_ID,Skills,Experience_Years,Education_Level,Projects_Count,Certifications,Publications,Awards,Leadership_Experience,Industry_Relevance,Resume_Score
180,"python,odoo,rest_api,django",5,3.0,7,3,2,2,1,0.89,43.79
181,"javascript,typescript",3,2.0,3,0,0,0,0,0.55,18.94
182,"python,odoo,flask,aws,sql",5,3.0,8,2,1,2,1,0.91,44.65
183,"odoo,erp,python,mysql",5,3.0,7,2,1,1,1,0.87,40.74
184,"odoo,python,docker,cloud",6,3.0,8,3,2,2,1,0.91,47.85
185,"odoo,python,postgresql,etl",6,3.0,8,3,2,2,1,0.9,47.82
186,"python,odoo,flask,xml,postgres",5,3.0,8,2,0,1,1,0.9,42.82
187,"html,css,js",2,1.0,2,0,0,0,0,0.45,14.96
188,"java,web",2,2.0,2,0,0,0,0,0.45,14.66
189,"python,odoo,xml,qweb",5,3.0,7,2,1,0,1,0.9,40.02
190,"javascript,jquery",2,2.0,2,0,0,0,0,0.5,14.8
191,"python,odoo,javascript,ml,sql",6,3.0,9,3,2,2,1,0.94,50.93
192,"python,odoo,sqlite,tkinter",5,3.0,7,2,1,1,1,0.86,40.71
193,"odoo,python,html,css",4,2.0,6,1,1,1,1,0.82,34.2
194,"python,odoo,pandas,numpy,sql",5,3.0,8,2,1,1,1,0.9,43.82
195,"odoo,python,sqlalchemy",5,3.0,7,2,1,2,1,0.87,40.04
196,"javascript,react,node.js,mongodb",4,2.0,6,1,0,2,1,0.8,33.94
197,"python,odoo,xpath,sql,api",5,3.0,8,2,0,2,1,0.89,43.59
198,"python,odoo,plotly,dash",6,3.0,8,3,2,2,1,0.91,47.85
199,"python,odoo,data_engineering",7,3.0,9,4,2,2,1,0.93,51.6
200,"odoo,python,database,debugging",5,3.0,7,3,2,2,1,0.89,43.79
201,"python,odoo,erp,xml,sql",5,3.0,7,2,0,1,1,0.89,41.29
202,"odoo,python,linux,devops",4,3.0,6,2,1,1,1,0.89,36.79
203,"python,odoo,linux,postman",5,3.0,7,3,2,1,1,0.88,42.96
204,"html,css,javascript",2,2.0,3,1,0,0,0,0.5,19.0
205,"python,odoo,git,xml,html",4,3.0,7,2,0,1,1,0.87,38.74
206,"html,css,ux",2,1.0,3,0,0,0,0,0.64,16.99
207,"java,sql",3,1.0,3,0,0,0,0,0.5,17.6
208,"html,css,tailwind,bootstrap",1,1.0,2,0,0,0,0,0.6,14.38
209,"cpp,data_structures",3,2.0,4,1,0,1,1,0.74,24.47
210,"html,css,bootstrap",2,1.0,3,0,0,0,0,0.55,16.74
211,"java,android,kotlin,firebase",4,3.0,7,2,1,1,1,0.82,38.1
212,"html,css,javascript",2,2.0,3,1,0,0,0,0.45,18.86
213,"odoo,python,javascript,vue",4,2.0,6,1,1,1,1,0.83,34.22
214,"python,odoo,xpath,rest,ml",5,4.0,10,3,2,2,1,0.95,51.16
215,"python,odoo,statistics",5,4.0,8,4,3,1,1,0.92,46.48
216,"java,xml,android",3,2.0,4,0,0,0,0,0.6,22.08
217,"excel,vba,macros",3,2.0,4,1,0,0,0,0.7,23.56
218,"python,ml",2,2.0,3,1,0,0,0,0.6,17.78
219,"r,dplyr,tibble",3,2.0,4,1,1,0,0,0.72,24.62
220,"python,odoo,performance,logging",5,3.0,7,2,1,1,1,0.87,40.74
221,"python,r,matplotlib",3,2.0,4,1,1,0,0,0.73,24.64
222,"python,odoo,numpy,pandas",4,3.0,6,2,1,1,1,0.83,36.62
223,"cpp,qt,gui",3,2.0,4,1,0,1,0,0.72,24.42
224,"odoo,python,xpath,erp,linux",6,3.0,9,3,2,2,1,0.93,50.9
225,"data_science,pandas,numpy,matplotlib",4,3.0,6,3,2,1,1,0.82,38.8
226,"html,css,figma,ux",2,2.0,3,1,0,0,0,0.66,20.95
227,"c++,game_dev,unity,ue4",2,2.0,3,0,0,0,0,0.62,19.64
228,"python,odoo,sql,flask",6,3.0,8,3,2,1,1,0.91,47.05
229,"odoo,python,xpath,erp,api",6,3.0,9,3,1,2,1,0.93,49.9
230,"python,odoo,django,ml,sql",5,3.0,8,2,1,2,1,0.91,44.65
231,"python,odoo,data_structures",6,3.0,8,2,2,1,1,0.88,44.26
232,"odoo,python,html,bootstrap",4,2.0,5,1,1,1,1,0.81,32.67
233,"python,odoo,django,javascript,api",5,3.0,8,2,0,1,1,0.89,42.79
234,"python,odoo,qweb,reporting",4,3.0,6,2,0,1,1,0.89,35.79
235,"python,cv,object_detection",5,3.0,6,3,1,1,1,0.86,38.91
236,"excel,word,reporting",4,1.0,2,0,0,0,0,0.5,20.1
237,"react,tailwind,typescript",3,2.0,5,2,0,0,1,0.76,27.93
238,"python,odoo,ml,api",5,4.0,7,3,1,1,1,0.94,43.33
239,"python,odoo,ai,flask",7,3.0,8,4,2,2,1,0.92,51.58
240,"python,odoo,visualization",5,3.0,7,3,2,1,1,0.88,41.46
241,"python,odoo,html,css,api",4,3.0,7,1,0,1,1,0.87,37.54
242,"scala,spark,hadoop",6,3.0,9,3,1,2,1,0.87,46.74
243,"python,fastapi,redis",5,3.0,6,2,1,1,1,0.83,37.62
244,"python,odoo,qweb,erp",5,3.0,7,3,1,2,1,0.91,42.85
245,"python,odoo,data_cleaning",5,3.0,7,2,1,1,1,0.86,39.21
246,"odoo,python,javascript,sql,erp",6,3.0,9,3,2,2,1,0.93,50.9
247,"swift,ios,ui_kit,core_data",4,2.0,5,2,0,1,1,0.78,32.78
248,"sql,excel",4,2.0,4,1,0,0,0,0.6,24.28
249,"python,odoo,flask,html,sql",5,3.0,8,2,0,1,1,0.89,42.79
250,"python,odoo,jupyter,ml",6,3.0,8,3,2,2,1,0.9,47.82
251,"r,statistics",3,2.0,4,1,0,0,0,0.59,21.75
252,"c++,algorithms,data_structures",1,2.0,2,0,0,0,0,0.6,14.08
253,"python,machine_learning,data_analysis,sql",5,3.0,8,3,2,1,1,0.85,44.38
254,"php,mysql,laravel",3,2.0,4,1,0,0,0,0.6,23.28
255,"html,css,jquery",2,2.0,3,0,0,0,0,0.57,18.0
256,"linux,networking,shell",4,2.0,3,1,0,0,0,0.6,24.28
257,"python,machine_learning,data_analysis,sql",5,3.0,8,3,2,1,1,0.85,44.38
258,"python,odoo,sql,devops",5,3.0,7,3,2,2,1,0.89,43.79
259,"linux,scripting",4,2.0,3,0,0,0,0,0.6,21.58
260,"odoo,python,react,api",5,3.0,7,2,1,1,1,0.86,40.71
261,"python,odoo,django,api",7,3.0,9,4,3,2,1,0.94,54.13
262,"cpp,os,system_programming",4,2.0,5,1,0,1,1,0.76,30.03
263,"odoo,python,cloud,flask",4,2.0,6,2,1,1,1,0.84,35.45
264,"nlp,bert,transformers",5,4.0,7,3,2,2,1,0.91,43.55
265,"c#,wpf,desktop_apps",5,2.0,6,1,0,0,1,0.74,33.17
266,"data_mining,sql,python",3,2.0,4,1,1,0,0,0.74,24.67
267,"python,odoo,flask,postgresql",5,3.0,7,2,1,2,1,0.87,41.54
268,"java,algorithms",2,2.0,2,0,0,0,0,0.45,14.66
269,"sql,etl,databricks,azure",6,3.0,8,3,1,1,1,0.86,45.91
270,"python,odoo,javascript,ajax",3,2.0,5,1,0,0,1,0.84,28.45
271,"python,odoo,ml,tensorflow",6,3.0,8,3,2,2,1,0.91,47.85
272,"python,odoo,streamlit,api",6,3.0,8,3,2,2,1,0.9,47.82
273,"python,odoo,git,html,css",4,3.0,7,1,0,1,1,0.86,37.51
274,"css,ux,ui_design",3,1.0,3,1,0,0,0,0.5,20.3
275,"odoo,python,xml,sql,jquery",4,3.0,7,1,0,1,1,0.86,37.51
276,"html,css,ui",1,1.0,2,0,0,0,0,0.6,12.88
277,"python,odoo,vue,html,git",5,3.0,8,2,1,1,1,0.89,43.79
278,"odoo,python,django,postgresql,rest",5,3.0,8,2,1,2,1,0.91,44.65
279,"python,tensorflow,keras,opencv",3,3.0,5,2,1,0,0,0.78,30.18
280,"java,spring,security",4,3.0,6,2,0,1,1,0.8,34.04
281,"react,redux,javascript,html,css",2,2.0,4,1,0,0,1,0.68,25.5
282,"python,odoo,rest,django,html",5,3.0,8,2,1,1,1,0.89,43.79
283,"c++,linux,networking",4,2.0,5,1,0,1,1,0.75,30.0
284,"html,css,tailwind",2,1.0,3,0,0,0,0,0.45,16.46
285,"c++,data_structures,oop",2,2.0,3,1,0,0,0,0.55,19.14
286,"python,odoo,fastapi,docker",6,3.0,8,3,2,1,1,0.9,47.02
287,"odoo,python,data_analysis,crm",4,3.0,6,3,0,1,1,0.86,36.91
288,"c,linux,embedded",3,2.0,4,1,0,0,0,0.6,23.28
289,"python,odoo,flask,mysql",5,3.0,7,2,1,1,1,0.86,40.71
290,"odoo,python,html,css",4,2.0,6,1,1,1,1,0.82,34.2
291,"python,odoo,machine_learning,nlp",7,4.0,9,4,3,2,1,0.94,55.33
292,"css,sass,figma",2,1.0,3,0,0,0,0,0.45,16.46
293,"odoo,python,sql,analytics",5,3.0,7,2,1,2,1,0.88,41.56
294,"java,spring",3,2.0,3,0,0,0,0,0.55,18.94
295,"c#,asp.net",3,2.0,3,0,0,0,0,0.55,18.94
296,"odoo,python,debug,erp",6,3.0,8,3,2,2,1,0.91,47.85
297,"odoo,python,javascript,api",6,3.0,8,3,1,2,1,0.89,46.79
298,"odoo,python,flask,numpy,ml",6,4.0,10,3,2,2,1,0.96,53.69
299,"nodejs,graphql,mongodb",5,3.0,6,2,1,1,1,0.83,37.62
300,"odoo,python,pandas,sql",5,3.0,7,3,2,2,1,0.89,43.79
301,"python,odoo,sql,django",6,3.0,8,3,2,1,1,0.91,47.05
302,"odoo,python,mlops",6,3.0,8,3,2,2,1,0.91,46.35
303,"r,statistics,tableau,excel",6,4.0,10,4,5,2,1,0.9,56.22
304,"bash,linux,devops",4,2.0,5,2,0,0,1,0.76,30.43
305,"java,spring,hibernate,mysql",3,2.0,4,2,0,0,0,0.75,26.4
306,"html,css,wordpress,seo",2,1.0,3,1,0,0,0,0.65,19.72
307,"kotlin,android_studio",4,2.0,5,1,0,0,1,0.74,27.67
308,"odoo,python,sql,postgresql",4,3.0,6,2,1,1,1,0.84,36.65
309,"cloud,terraform,kubernetes",6,3.0,9,3,1,2,1,0.88,46.76
310,"odoo,python,pandas,flask",5,3.0,7,2,2,1,1,0.87,41.74
311,"docker,k8s,cloud",6,3.0,8,3,1,2,1,0.87,45.24
312,"javascript,vue,vite",3,2.0,4,1,0,1,1,0.74,25.97
313,"python,odoo,javascript,xmlrpc",5,3.0,7,2,2,2,1,0.88,42.56
314,"odoo,python,visual_studio",5,3.0,7,2,1,1,1,0.86,39.21
315,"java,springboot,mongodb,docker",5,3.0,7,2,0,1,0,0.76,37.93
316,"java,android,sqlite",3,2.0,4,1,0,0,0,0.55,23.14
317,"sql,powerbi,reporting",4,2.0,5,2,1,1,1,0.79,32.31
318,"python,odoo,react,docker",4,3.0,6,2,0,1,1,0.88,35.76
319,"python,odoo,xpath,django,numpy",6,4.0,10,4,2,2,1,0.96,54.89
320,"r,statistics",3,2.0,3,1,0,0,0,0.6,20.28
321,"odoo,python,pandas,sql,html",4,3.0,7,1,0,1,1,0.87,37.54
322,"sql,excel,data_viz",3,2.0,4,1,0,0,0,0.66,23.45
323,"html,css",1,1.0,2,0,0,0,0,0.4,10.82
324,"typescript,vue,html",2,2.0,3,0,0,0,0,0.5,17.8
325,"odoo,python,mongodb,api",5,3.0,7,2,1,1,1,0.87,40.74
326,"c++,oop,stl",2,2.0,3,0,0,0,0,0.65,18.22
327,"r,data_viz,ggplot",3,2.0,4,2,1,0,0,0.73,25.84
328,"python,odoo,flask,postgresql",4,2.0,6,2,1,1,1,0.85,35.48
329,"odoo,python,web_dev",5,3.0,7,2,1,1,1,0.87,39.24
330,"php,html",2,2.0,3,0,0,0,0,0.5,16.3
331,"odoo,python,flask,sql",5,3.0,7,2,1,1,1,0.86,40.71
332,"odoo,python,xpath,jquery,ml",5,3.0,8,2,1,2,1,0.91,44.65
333,"java,ds,algorithms",3,2.0,4,1,0,1,1,0.74,25.97
334,"java,struts,oracle",4,2.0,5,1,0,1,1,0.76,30.03
335,"odoo,python,ml,aws",6,3.0,8,2,1,2,1,0.88,45.56
336,"python,odoo,vue,api",5,3.0,7,2,1,1,1,0.86,40.71
337,"html,css,javascript,vue",2,2.0,3,1,0,0,0,0.65,20.92
338,"javascript,react,bootstrap",3,2.0,3,1,0,0,0,0.5,21.5
339,"python,odoo,docker,api,sql",5,3.0,8,2,1,1,1,0.89,43.79
340,"python,odoo,git,erp",6,3.0,8,2,0,2,1,0.91,44.65
341,"odoo,python,api,erp",5,3.0,7,3,2,2,1,0.89,43.79
342,"react,redux,javascript",3,2.0,4,0,0,0,0,0.58,22.02
343,"odoo,python,postgresql",6,3.0,8,3,2,2,1,0.91,46.35
344,"c,algorithms",3,2.0,4,0,0,0,0,0.55,20.44
345,"python,odoo,flask,xpath,git",6,3.0,9,3,2,2,1,0.94,50.93
346,"odoo,python,sql,git,docker",6,3.0,9,3,1,2,1,0.92,49.88
347,"odoo,python,erp,html,css",4,2.0,7,1,0,1,1,0.85,36.28
348,"sql,etl,data_pipeline",6,3.0,8,3,1,2,1,0.87,45.24
349,"css,figma,ui_design",2,1.0,3,0,0,0,0,0.64,16.99
350,"java,sql",4,2.0,3,1,0,0,0,0.6,22.78
351,"python,odoo,data_analysis,sql",6,3.0,8,3,2,2,1,0.91,47.85
352,"odoo,python,pandas,numpy,api",6,4.0,10,3,2,2,1,0.95,53.66
353,"python,data_cleaning",3,2.0,3,1,0,0,0,0.65,20.42
354,"python,opencv,scikit-learn",4,3.0,6,3,2,1,1,0.85,37.38
355,"python,odoo,postgresql,api",6,3.0,8,3,2,2,1,0.91,47.85
356,"java,android,xml",4,2.0,5,1,0,0,1,0.74,29.17
357,"html,css,javascript,jquery",2,1.0,3,1,0,0,0,0.65,19.72
358,"python,odoo,postgresql,api",6,3.0,8,3,1,1,1,0.95,46.16
359,"python,fastapi",3,2.0,3,0,0,0,0,0.65,19.22
360,"javascript,react,node.js,mongodb",4,2.0,6,1,0,2,1,0.8,33.94
